SKU,Catalogue Code,Product Name,Category,Brand,Sales Price,RRP,Product Features,Marketing Text,Category Marketing Text,Width,Depth,Height,Product Weight (kg),Material,Finish,Colour,Bespoke Fabric Product,Fabric Brand,Fabric Brand Range,Seat Width,Seat Depth,Seat Height,Back Type,Back Width,Back Height,Arms Included,Arm Type,Arms Removable,Arms Width,Arms Height,Recommended Usage (Hours),Maximum Weight Capacity (kg),Seat Colour,Back Colour,Frame Colour,Seat Material,Back Material,Frame Material,MOQ,Standard Delivery Time,Product Returnable,Self Assembly,Next Day Cost,7-10 Day Install Cost,Mechanical Components Guarantee,Fabric and Foam Guarantee,Country of Origin,Test Certificates,Commodity Code,ISPC Code,EAN Barcode,Last Updated
NSS00145,WYNNSATLCH3,Wynne 81cm Wide Armchair Ultima Atlantic Faux Leather by Cristina Marrone Wide Chrome Feet,Armchairs,Wynne,,1780, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wilson bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Atlantic,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Atlantic,Atlantic,Chrome,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00146,WYNNSATLCH3SCKT,Wynne 81cm Wide Armchair Ultima Atlantic Faux Leather by Cristina Marrone Wide Chrome Feet With Socket,Armchairs,Wynne,,2112, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wilson bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Atlantic,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Atlantic,Atlantic,Chrome,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00147,WYNNSATLCH1,Wynne 81cm Wide Armchair Ultima Atlantic Faux Leather by Cristina Marrone Chrome Feet,Armchairs,Wynne,,1780, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wynne bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Atlantic,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Atlantic,Atlantic,Chrome,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00148,WYNNSATLCH1SCKT,Wynne 81cm Wide Armchair Ultima Atlantic Faux Leather by Cristina Marrone Chrome Feet With Socket,Armchairs,Wynne,,2112, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wilson bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Atlantic,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Atlantic,Atlantic,Chrome,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00149,WYNNSATLEB1,Wynne 81cm Wide Armchair Ultima Atlantic Faux Leather by Cristina Marrone Ebony Wood Feet,Armchairs,Wynne,,1780, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wynne bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Atlantic,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Atlantic,Atlantic,Ebony,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00150,WYNNSATLEB1SCKT,Wynne 81cm Wide Armchair Ultima Atlantic Faux Leather by Cristina Marrone Ebony Wood Feet With Socket,Armchairs,Wynne,,2112, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wilson bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Atlantic,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Atlantic,Atlantic,Ebony,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00151,WYNNSATLNE1,Wynne 81cm Wide Armchair Ultima Atlantic Faux Leather by Cristina Marrone Light Wood Feet,Armchairs,Wynne,,1780, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wynne bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Atlantic,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Atlantic,Atlantic,Light Wood,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00152,WYNNSATLNE1SCKT,Wynne 81cm Wide Armchair Ultima Atlantic Faux Leather by Cristina Marrone Light Wood Feet With Socket,Armchairs,Wynne,,2112, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wilson bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Atlantic,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Atlantic,Atlantic,Light Wood,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00161,WYNNSCHACH3,Wynne 81cm Wide Armchair Ultima Chalk Faux Leather by Cristina Marrone Wide Chrome Feet,Armchairs,Wynne,,1780, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wilson bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Chalk,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Chalk,Chalk,Chrome,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00162,WYNNSCHACH3SCKT,Wynne 81cm Wide Armchair Ultima Chalk Faux Leather by Cristina Marrone Wide Chrome Feet With Socket,Armchairs,Wynne,,2112, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wilson bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Chalk,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Chalk,Chalk,Chrome,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
